Adjusted Timestamp,Systolic (mmHg),Diastolic (mmHg),MAP (mmHg),HeartRate (bpm),Respiration (Bpm),AS,SQE
0,110,74,86,77,0,0,0
11494,110,74,85,75,0,19,754
12230,110,74,85,76,0,20,751
12896,110,74,85,78,0,22,748
13592,110,74,85,78,0,20,683
14442,110,74,85,79,0,20,602
15156,109,74,85,81,0,20,575
15804,109,74,85,83,0,21,560
16456,109,74,85,85,0,21,575
17138,109,74,85,87,0,21,560
17782,109,73,84,89,0,23,555
18408,109,73,84,89,0,23,555
19316,109,73,84,87,0,21,555
20084,109,73,84,86,0,19,555
20936,110,74,85,86,0,18,572
21830,109,74,85,83,0,16,624
22690,109,74,84,81,0,13,689
23412,109,74,84,81,0,13,689
24122,109,74,84,80,0,13,689
24848,109,74,84,77,0,13,689
25634,108,74,84,77,0,13,689
26346,109,73,84,80,0,14,633
27014,110,74,85,80,0,16,616
27794,111,74,85,80,0,16,616
28714,111,74,85,80,0,16,616
29548,110,74,85,80,0,16,616
30314,111,74,85,78,0,16,587
31136,111,75,86,77,0,14,593
32000,111,75,86,77,0,13,592
32772,111,75,86,77,0,13,592
33468,111,75,86,77,0,13,592
34188,112,75,86,77,0,13,592
34954,112,75,86,78,16,13,567
35724,111,75,86,78,16,15,567
36418,110,74,85,78,16,16,552
37118,110,75,85,78,16,16,552
38002,111,75,86,78,16,16,554
38914,110,74,85,79,16,16,554
39676,108,74,84,79,17,16,554
40458,110,74,85,78,17,16,554
41326,111,75,86,78,17,15,554
42074,110,74,85,78,17,15,554
42796,110,74,85,78,17,14,405
